GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_region_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABAT	ENSG00000183044	ENST00000268251	protein_coding	0	1	1	41	2	0	0	2	0	38	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000396600	protein_coding	0	1	1	39	2	0	0	2	0	36	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000425191	protein_coding	0	1	1	37	0	0	0	2	0	36	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000561870	protein_coding	0	1	1	13	0	0	0	4	0	10	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000562115	nonsense_mediated_decay	0	1	1	15	0	0	0	2	0	14	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000563992	retained_intron	0	0	0	6	0	0	0	1	0	4	0	1	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000564453	retained_intron	0	0	0	17	0	0	0	4	0	9	0	0	0	0	0	0	4
ABAT	ENSG00000183044	ENST00000564714	protein_coding	0	1	1	15	0	0	0	0	0	16	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000565016	protein_coding	0	1	1	13	0	0	0	0	0	14	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000565671	processed_transcript	0	3	0	14	0	0	0	4	0	11	0	2	0	3	0	0	0
ABAT	ENSG00000183044	ENST00000566590	nonsense_mediated_decay	0	1	0	38	0	0	0	2	0	37	0	0	0	1	0	0	0
ABAT	ENSG00000183044	ENST00000567812	protein_coding	0	1	1	37	0	0	0	2	0	36	1	0	0	2	0	0	0
ABAT	ENSG00000183044	ENST00000568847	protein_coding	0	0	0	15	0	0	0	11	0	4	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000569156	protein_coding	0	1	1	37	0	0	0	2	0	36	1	0	0	2	0	0	0
ABCA17P	ENSG00000238098	ENST00000469908	processed_transcript	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
ABCA17P	ENSG00000238098	ENST00000494925	unitary_pseudogene	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000301732	protein_coding	0	3	0	23	0	0	0	1	0	22	0	0	0	0	0	3	0
ABCA3	ENSG00000167972	ENST00000382381	protein_coding	0	3	0	23	0	0	0	1	0	22	0	0	0	0	0	3	0
ABCA3	ENSG00000167972	ENST00000563623	retained_intron	0	0	0	23	0	0	0	5	0	16	0	2	0	0	0	0	0
ABCA3	ENSG00000167972	ENST00000566200	retained_intron	0	0	0	8	0	0	0	1	0	1	0	1	0	0	0	0	5
ABCA3	ENSG00000167972	ENST00000567910	protein_coding	0	0	0	10	0	0	0	4	0	5	0	0	0	0	0	0	1
ABCA3	ENSG00000167972	ENST00000569062	retained_intron	0	0	0	7	0	0	0	1	0	0	0	1	0	0	0	0	5
AC005363.11	ENSG00000277602	ENST00000618631	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005606.15	ENSG00000260107	ENST00000567515	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC009065.1	ENSG00000279473	ENST00000623013	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC141586.5	ENSG00000215154	ENST00000399702	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC141586.5	ENSG00000215154	ENST00000566272	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC141586.5	ENSG00000215154	ENST00000567242	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ADCY9	ENSG00000162104	ENST00000294016	protein_coding	0	6	0	32	2	0	0	0	0	27	0	0	2	0	0	4	3
ADCY9	ENSG00000162104	ENST00000571467	nonsense_mediated_decay	0	0	0	24	0	0	0	2	0	18	0	0	0	0	0	0	4
ADCY9	ENSG00000162104	ENST00000571889	processed_transcript	0	0	0	14	0	0	0	2	0	12	0	0	0	0	0	0	0
ADCY9	ENSG00000162104	ENST00000572288	protein_coding	0	0	0	24	0	0	0	8	0	12	0	0	0	0	0	0	4
ADCY9	ENSG00000162104	ENST00000574721	retained_intron	0	0	0	11	0	0	0	7	0	0	0	1	0	0	0	0	3
ADCY9	ENSG00000162104	ENST00000575550	processed_transcript	0	0	0	15	0	0	0	4	0	11	0	0	0	0	0	0	0
ADCY9	ENSG00000162104	ENST00000576936	protein_coding	0	1	0	19	0	0	0	0	0	12	0	0	0	0	0	1	7
AJ003147.9	ENSG00000262668	ENST00000576468	antisense	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0
ALG1	ENSG00000033011	ENST00000262374	protein_coding	0	1	0	21	1	0	0	0	0	20	0	0	0	0	0	1	0
ALG1	ENSG00000033011	ENST00000544428	protein_coding	0	1	0	21	1	0	0	0	0	18	0	0	0	0	0	1	2
ALG1	ENSG00000033011	ENST00000586840	protein_coding	0	0	0	16	0	0	0	8	0	8	0	0	0	0	0	0	0
ALG1	ENSG00000033011	ENST00000588623	protein_coding	0	1	0	28	1	0	0	0	0	25	0	0	0	0	0	1	2
ALG1	ENSG00000033011	ENST00000591783	protein_coding	0	0	0	20	0	0	0	9	0	9	0	0	0	0	0	0	2
ALG1	ENSG00000033011	ENST00000591822	nonsense_mediated_decay	1	0	0	21	3	0	0	0	1	18	0	0	0	0	0	0	0
ALG1	ENSG00000033011	ENST00000592661	processed_transcript	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
ALG1	ENSG00000033011	ENST00000592793	retained_intron	0	0	0	10	0	0	0	5	0	4	0	1	0	0	0	0	0
AMDHD2	ENSG00000162066	ENST00000302956	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AMDHD2	ENSG00000162066	ENST00000565570	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000304283	protein_coding	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1
ANKS3	ENSG00000168096	ENST00000446014	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ANKS3	ENSG00000168096	ENST00000450067	protein_coding	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1
ANKS3	ENSG00000168096	ENST00000585773	protein_coding	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	1
ANKS3	ENSG00000168096	ENST00000586159	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000586166	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000586605	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000586632	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000587005	nonsense_mediated_decay	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000588398	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000588513	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ANKS3	ENSG00000168096	ENST00000589035	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000589065	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000590147	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000590193	nonsense_mediated_decay	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000590689	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000590730	nonsense_mediated_decay	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000590803	retained_intron	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000591185	retained_intron	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000591281	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000591653	retained_intron	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000592068	nonsense_mediated_decay	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000592077	nonsense_mediated_decay	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000592190	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000592421	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000592698	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000592711	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000592840	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKS3	ENSG00000168096	ENST00000593120	retained_intron	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
ANKS3	ENSG00000168096	ENST00000614075	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
AXIN1	ENSG00000103126	ENST00000262320	protein_coding	0	3	0	8	0	0	0	0	0	8	0	0	0	0	0	3	0
AXIN1	ENSG00000103126	ENST00000354866	protein_coding	0	3	0	8	0	0	0	0	0	8	0	0	0	0	0	3	0
AXIN1	ENSG00000103126	ENST00000457798	protein_coding	0	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	4
AXIN1	ENSG00000103126	ENST00000461023	retained_intron	0	0	0	11	0	0	0	0	0	5	0	6	0	0	0	0	0
AXIN1	ENSG00000103126	ENST00000481769	processed_transcript	0	0	0	6	0	0	0	3	0	2	0	1	0	0	0	0	0
BICDL2	ENSG00000162069	ENST00000389347	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
BICDL2	ENSG00000162069	ENST00000572240	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
BICDL2	ENSG00000162069	ENST00000572449	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
BICDL2	ENSG00000162069	ENST00000573514	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
BICDL2	ENSG00000162069	ENST00000576826	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
C16orf59	ENSG00000162062	ENST00000361837	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000483320	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000562253	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000563531	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000565537	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000565716	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000567489	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000568753	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000569496	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000569664	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000569665	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf59	ENSG00000162062	ENST00000569994	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C16orf71	ENSG00000166246	ENST00000299320	protein_coding	0	0	1	3	0	0	0	1	0	2	1	0	0	1	0	0	0
C16orf71	ENSG00000166246	ENST00000586256	retained_intron	0	1	0	3	0	0	0	1	0	2	0	1	0	1	0	0	0
C16orf71	ENSG00000166246	ENST00000586724	protein_coding	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0
C16orf71	ENSG00000166246	ENST00000590191	protein_coding	0	0	1	3	0	0	0	1	0	2	1	0	0	1	0	0	0
